,이비카드정류장ID,정류장이름,위도,경도,횟수
316,4197607.0,서동탄역신일해피트리(중),37.1995,127.0524833,317.0
808,4197590.0,솔빛마을.서해.쌍용아파트,37.1958167,127.0696333,304.0
1143,4116691.0,안녕농협삼거리,37.2052167,127.0147,335.0
1649,4117227.0,수원대학교,37.21375,126.98015,506.0
2030,4197467.0,한빛마을(중),37.2075667,127.0692,381.0
2520,4116682.0,광도와이드빌.우남그린빌,37.2265833,126.9718833,490.0
3084,4170937.0,동탄2동행정복지센터,37.1964167,127.0728833,450.0
3720,4130058.0,신안2차.반도4차,37.2000167,127.11596670000002,366.0
4017,4170995.0,능리교차로,37.2191167,127.0572333,297.0
4345,4197554.0,쌍용예가,37.1935,127.0718,328.0
5202,4100048.0,신창미션힐.송화초교,37.2033,127.03855,857.0
5799,4100051.0,동부출장소.병점초등학교,37.2088,127.0344333,371.0
6324,4170977.0,한림대병원(중),37.21731670000001,127.07775,374.0
7320,4108035.0,반월리큰고개,37.23255,127.0647833,996.0
7623,4170264.0,대우푸르지오,37.22895,127.04605,303.0
8117,4130128.0,진안동,37.2133667,127.04065,327.0
8642,4199630.0,수영초등학교,37.2365333,126.9549167,525.0
9236,4116678.0,신일해피트리1차,37.2224667,126.97393329999998,558.0
10074,4195716.0,다은마을(중),37.2004167,127.0673,813.0
10780,4100050.0,동탄1동행정복지센터,37.20685,127.07235,489.0
12117,4170973.0,메타폴리스(중),37.2037,127.0675,694.0
13782,4170921.0,참누리아파트.기산중학교,37.2195333,127.05165,372.0
14717,4116673.0,와우2리,37.2159,126.9761833,792.0
15208,4102921.0,주공5단지,37.2148333,126.96345,393.0
15841,4116692.0,송산동입구,37.2055667,127.0172,388.0
16758,4108031.0,삼성반도체,37.2250833,127.064,343.0
18322,4108037.0,신영통현대타운.두산위브,37.2353333,127.0621,1564.0
19151,4121008.0,이주택지.상록.경남아파트,37.2072167,127.1106833,338.0
19885,4130136.0,남수원현대아파트,37.2076667,127.0105167,350.0
20592,4116693.0,동문아파트,37.2054,127.02225,333.0
21577,4199361.0,능동마을입구,37.21755,127.0579,706.0
22783,4117366.0,신한미지엔아파트앞,37.20035,127.00915,374.0
23163,4199435.0,복합문화센터,37.2011167,127.0711,372.0
24178,4151651.0,병점역사거리,37.2069167,127.0356333,290.0
24592,4151723.0,우남아파트,37.1993667,127.0485167,293.0
24907,4116680.0,우림그린빌리지,37.22455,126.9724333,300.0
25280,4130083.0,성호아파트,37.1999,127.04108329999998,373.0
26154,4130130.0,한일타운아파트,37.2003333,127.0377,413.0
26686,4117317.0,대진화학,37.2259167,126.95421670000002,524.0
26958,4120450.0,호반베르디움.롯데캐슬,37.1971833,127.11123329999998,272.0
27756,4170542.0,상록.테크노밸리.GS자이,37.2070167,127.0986,279.0
28921,9115604.0,예솔초.호반2차.대원2차,37.1962,127.1186833,316.0
29209,4121766.0,한미약품.푸르지오,37.2092333,127.09185,288.0
30092,4100049.0,홈플러스.벌말초교,37.2033,127.03813329999998,476.0
32966,4170723.0,우남퍼스트빌,37.2031667,127.0986,312.0
33631,4197463.0,반석초등학교,37.1934,127.07746670000002,529.0
34002,4170983.0,동탄2LH4단지,37.2056,127.12275,262.0
34395,4120435.0,예당예원초,37.2107,127.0775833,265.0
35258,4120454.0,나래학교,37.1758833,127.10565,279.0
38731,4199604.0,동양파라곤,37.18645,127.0773167,337.0
